,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-09-04,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,2500.0,2500.0,2500.0
2013-09-05,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-06,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-07,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-08,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-09,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-10,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-11,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,2400.0,2400.0,2400.0
2013-09-12,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-13,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-14,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-15,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-16,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-17,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-18,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,2500.0,2500.0,2500.0
2013-09-19,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-20,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-21,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-22,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-23,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-24,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-25,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,2250.0,2250.0,2250.0
2013-09-26,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-27,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-28,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-29,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-09-30,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-01,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-02,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,2250.0,2250.0,2250.0
2013-10-03,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-04,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-05,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-06,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-07,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-08,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-09,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,2250.0,2250.0,2250.0
2013-10-10,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-11,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-12,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-13,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-14,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-15,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-16,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-17,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-18,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-19,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-20,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-21,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-22,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,,,
2013-10-23,Fibre,White Cotton (S. M. R.),Kilogram,,,,Quintal,3000.0,3000.0,3000.0
